team,name,role,position,primary_position,eligible_positions,rating_source,sample_note
삼성 라이온즈,미야지,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,이재희,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,원태인,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 선발 성적 기반 보정
삼성 라이온즈,최원태,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,이승현(26),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,김태훈(27),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,이승민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,임기영,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,양창섭,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,배찬승,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,이승현(57),pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,페덱,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,김재윤,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 불펜 2025 성적 기반 보정
삼성 라이온즈,김도환,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,장승현,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,강민호,batter,포수,C,C;DH,2025_previous_season_fallback,2026 규정타석 미달: 포수 포지션 2025/커리어 기반 보정
삼성 라이온즈,김영웅,batter,내야수,3B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,양우현,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,심재훈,batter,내야수,SS,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,전병우,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,이재현,batter,내야수,SS,SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,김태훈(25),batter,외야수,RF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,김헌곤,batter,외야수,LF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
삼성 라이온즈,김현준,batter,외야수,CF,CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,스기모토,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,우규민,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,배제성,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,전용주,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,소형준,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,이상동,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,주권,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,손동현,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,로건,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,오원석,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,박영현,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 SV 35 기반 마무리 보정
KT 위즈,장성우,batter,포수,C,C;DH,2025_previous_season_fallback,2026 규정타석 미달: 포수 포지션 2025/커리어 기반 보정
KT 위즈,조대현,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,한승택,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,허경민,batter,내야수,3B,3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,오윤석,batter,내야수,1B,1B;2B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,권동진,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,장준원,batter,내야수,SS,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,류현인,batter,내야수,2B,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,안현민,batter,외야수,RF,1B;RF;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 타율 .334·PA 482·OPS 1.018 기반 보정
KT 위즈,배정대,batter,외야수,CF,CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,이정훈,batter,외야수,1B,1B;LF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,장진혁,batter,외야수,LF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KT 위즈,김민혁,batter,외야수,LF,LF;CF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,함덕주,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,송승기,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,우강훈,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,이우찬,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,손주영,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,이정용,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,김진성,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 불펜 2025 홀드권 성적 기반 보정
LG 트윈스,김진수,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,김윤식,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,박시원,pitcher,투수,LF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,양우진,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,김영우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,웰스,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,박동원,batter,포수,C,C;DH,2025_previous_season_fallback,2026 규정타석 미달: 포수 장타력 2025/커리어 기반 보정
LG 트윈스,이주헌,batter,포수,C,C;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,오지환,batter,내야수,SS,SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,문보경,batter,내야수,3B,1B;3B;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 중심타선 생산력 기반 보정
LG 트윈스,신민재,batter,내야수,2B,2B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,문정빈,batter,내야수,1B,1B;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,구본혁,batter,내야수,SS,2B;SS;3B;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,이영빈,batter,내야수,2B,2B;SS;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,최원영,batter,외야수,CF,LF;CF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,홍창기,batter,외야수,RF,RF;DH,2025_previous_season_fallback,2026 규정타석 미달: 2025 출루형 외야수 보정
LG 트윈스,이재원,batter,외야수,RF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,송찬의,batter,외야수,RF,1B;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
LG 트윈스,문성주,batter,외야수,LF,LF;RF;DH,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,곽도규,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,조상우,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,이형범,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,황동하,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,이태양,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,이의리,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,김범수,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,전상현,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,양현종,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 2025 선발 이닝 소화 기반 보정
KIA 타이거즈,한재승,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,정해영,pitcher,투수,P,P,2025_previous_season_fallback,2026 규정이닝 미달: 불펜/마무리 2025 성적 기반 보정
KIA 타이거즈,시라카와,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
KIA 타이거즈,성영탁,pitcher,투수,P,P,league_average_or_missing_2025,2026 규정 미달 + 2025 세부 기록 미입력: 임시 평균 보정
