team,name,position,role,active_roster_date,batting_order,contact,power,discipline,speed,stuff,control,stamina,stats_date,rating_source,sample_note
삼성 라이온즈,미야지,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,이재희,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,원태인,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,최원태,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,이승현(26),투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,김태훈(27),투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,이승민,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,임기영,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,양창섭,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,배찬승,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,이승현(57),투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,페덱,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,김재윤,투수,pitcher,2026-07-23,,0,0,0,0,50,50,55,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,김도환,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,장승현,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,강민호,포수,batter,2026-07-23,,50,50,50,42,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
삼성 라이온즈,디아즈,내야수,batter,2026-07-23,,61,62,64,85,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
삼성 라이온즈,류지혁,내야수,batter,2026-07-23,,60,48,67,77,50,50,0,2026-07-23,2026_qualified_hitter_stats,2026 KBO 규정타석권 공식 성적 기반
삼성 라이온즈,김영웅,내야수,batter,2026-07-23,,50,50,50,50,50,50,0,2026-07-23,league_average_regression,규정 미달 또는 세부기록 미수집: 리그 평균으로 보정
