game_id,date,away,home,venue,schedule_type
1,2026-03-28,KT 위즈,LG 트윈스,잠실,announced_135
2,2026-03-28,KIA 타이거즈,SSG 랜더스,문학,announced_135
3,2026-03-28,키움 히어로즈,한화 이글스,대전,announced_135
4,2026-03-28,롯데 자이언츠,삼성 라이온즈,대구,announced_135
5,2026-03-28,두산 베어스,NC 다이노스,창원,announced_135
6,2026-03-29,KT 위즈,LG 트윈스,잠실,announced_135
7,2026-03-29,KIA 타이거즈,SSG 랜더스,문학,announced_135
8,2026-03-29,키움 히어로즈,한화 이글스,대전,announced_135
9,2026-03-29,롯데 자이언츠,삼성 라이온즈,대구,announced_135
10,2026-03-29,두산 베어스,NC 다이노스,창원,announced_135
11,2026-03-31,KIA 타이거즈,LG 트윈스,잠실,announced_135
12,2026-03-31,키움 히어로즈,SSG 랜더스,문학,announced_135
13,2026-03-31,KT 위즈,한화 이글스,대전,announced_135
14,2026-03-31,두산 베어스,삼성 라이온즈,대구,announced_135
15,2026-03-31,롯데 자이언츠,NC 다이노스,창원,announced_135
16,2026-04-01,KIA 타이거즈,LG 트윈스,잠실,announced_135
17,2026-04-01,키움 히어로즈,SSG 랜더스,문학,announced_135
18,2026-04-01,KT 위즈,한화 이글스,대전,announced_135
19,2026-04-01,두산 베어스,삼성 라이온즈,대구,announced_135
20,2026-04-01,롯데 자이언츠,NC 다이노스,창원,announced_135
21,2026-04-02,KIA 타이거즈,LG 트윈스,잠실,announced_135
22,2026-04-02,키움 히어로즈,SSG 랜더스,문학,announced_135
23,2026-04-02,KT 위즈,한화 이글스,대전,announced_135
24,2026-04-02,두산 베어스,삼성 라이온즈,대구,announced_135
25,2026-04-02,롯데 자이언츠,NC 다이노스,창원,announced_135
26,2026-04-03,한화 이글스,두산 베어스,잠실,announced_135
27,2026-04-03,LG 트윈스,키움 히어로즈,고척,announced_135
28,2026-04-03,삼성 라이온즈,KT 위즈,수원,announced_135
29,2026-04-03,NC 다이노스,KIA 타이거즈,광주,announced_135
30,2026-04-03,SSG 랜더스,롯데 자이언츠,사직,announced_135
31,2026-04-04,한화 이글스,두산 베어스,잠실,announced_135
32,2026-04-04,LG 트윈스,키움 히어로즈,고척,announced_135
33,2026-04-04,삼성 라이온즈,KT 위즈,수원,announced_135
